2025-02-10 12:40:56.583: DGCSG(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gate_1): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_2): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_3): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (s): Sigmoid()
)
2025-02-10 12:40:56.583: Namespace(name='Pollen', cuda=False, n_z=10, lr=0.0001, n_clusters=11, n_input=2000, alpha=10, beta=3e-05)
2025-02-10 12:40:56.583: metrics:	 nmi	 ari
2025-02-10 12:40:57.769: epoch0 Q:	0.9112	0.9207
2025-02-10 12:40:57.813: epoch1 Q:	0.9032	0.9018
2025-02-10 12:40:57.828: epoch2 Q:	0.8958	0.8785
2025-02-10 12:40:57.842: epoch3 Q:	0.8929	0.8425
2025-02-10 12:40:57.855: epoch4 Q:	0.8815	0.8190
2025-02-10 12:40:57.864: epoch5 Q:	0.8757	0.8028
2025-02-10 12:40:57.874: epoch6 Q:	0.8529	0.7631
2025-02-10 12:40:57.882: epoch7 Q:	0.8551	0.7630
2025-02-10 12:40:57.890: epoch8 Q:	0.8212	0.7225
2025-02-10 12:40:57.899: epoch9 Q:	0.8119	0.7117
2025-02-10 12:40:57.908: epoch10 Q:	0.8063	0.7094
2025-02-10 12:40:57.917: epoch11 Q:	0.7966	0.6950
2025-02-10 12:40:57.924: epoch12 Q:	0.7912	0.6903
2025-02-10 12:40:57.934: epoch13 Q:	0.7887	0.6872
2025-02-10 12:40:57.942: epoch14 Q:	0.7918	0.6938
2025-02-10 12:40:57.950: epoch15 Q:	0.7960	0.6964
2025-02-10 12:40:57.959: epoch16 Q:	0.7943	0.6939
2025-02-10 12:40:57.969: epoch17 Q:	0.8008	0.6897
2025-02-10 12:40:57.978: epoch18 Q:	0.7960	0.6844
2025-02-10 12:40:57.987: epoch19 Q:	0.7889	0.6716
2025-02-10 12:40:57.995: epoch20 Q:	0.7732	0.6354
2025-02-10 12:40:58.004: epoch21 Q:	0.7732	0.6354
2025-02-10 12:40:58.012: epoch22 Q:	0.7803	0.6562
2025-02-10 12:40:58.020: epoch23 Q:	0.7757	0.6406
2025-02-10 12:40:58.028: epoch24 Q:	0.7698	0.6275
2025-02-10 12:40:58.038: epoch25 Q:	0.7726	0.6307
2025-02-10 12:40:58.046: epoch26 Q:	0.7726	0.6307
2025-02-10 12:40:58.056: epoch27 Q:	0.7726	0.6307
2025-02-10 12:40:58.065: epoch28 Q:	0.7654	0.6266
2025-02-10 12:40:58.074: epoch29 Q:	0.7758	0.6343
2025-02-10 12:40:58.081: epoch30 Q:	0.7705	0.6244
2025-02-10 12:40:58.089: epoch31 Q:	0.7726	0.6307
2025-02-10 12:40:58.098: epoch32 Q:	0.7698	0.6275
2025-02-10 12:40:58.107: epoch33 Q:	0.7678	0.6212
2025-02-10 12:40:58.116: epoch34 Q:	0.7678	0.6212
2025-02-10 12:40:58.124: epoch35 Q:	0.7674	0.6208
2025-02-10 12:40:58.133: epoch36 Q:	0.7674	0.6208
2025-02-10 12:40:58.142: epoch37 Q:	0.7674	0.6208
2025-02-10 12:40:58.151: epoch38 Q:	0.7674	0.6208
2025-02-10 12:40:58.159: epoch39 Q:	0.7702	0.6232
